GlyTouCanAccession	MotifAccession	Label	Alignment
G00056HH	GGM.000001	Type 2 LN	Substructure
G00056MO	GGM.000005	Type 1 LN	Substructure
G00056SP	GGM.000001	Type 2 LN	Substructure
G00056SP	GGM.000005	Type 1 LN	Substructure
G00056SP	GGM.000015	a-Gal antigen	Substructure
G00057MO	GGM.000016	LacdiNAc	Substructure
G00058MO	GGM.000001	Type 2 LN	Substructure
G00058MO	GGM.000002	Type 2 LN2	Substructure
G00059MO	GGM.000068	Pk antigen	Whole-Glycan
G00061MO	GGM.000070	Globoside	Whole-Glycan
G00062MO	GGM.000001	Type 2 LN	Substructure
G00062MO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00062MO	GGM.000051	Sda/CT antigen	Substructure
G00063MO	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G00065MO	GGM.000001	Type 2 LN	Substructure
G00065MO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00069MO	GGM.000005	Type 1 LN	Substructure
G00069YC	GGM.000001	Type 2 LN	Substructure
G00069YC	GGM.000002	Type 2 LN2	Substructure
G00069YC	GGM.000003	I antigen	Substructure
G00069YC	GGM.000036	Blood group H (type 2)	Substructure
G00069YC	GGM.000038	Blood group A (type 2)	Substructure
G00070MO	GGM.000001	Type 2 LN	Substructure
G00070MO	GGM.000077	Paragloboside	Whole-Glycan
G00071MO	GGM.000099	Asialo-GM1	Whole-Glycan
G00073QP	GGM.000001	Type 2 LN	Substructure
G00073QP	GGM.000005	Type 1 LN	Substructure
G00073QP	GGM.000015	a-Gal antigen	Substructure
G00076PK	GGM.000001	Type 2 LN	Substructure
G00079IK	GGM.000001	Type 2 LN	Substructure
G00079IK	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00083FE	GGM.000001	Type 2 LN	Substructure
G00083FE	GGM.000005	Type 1 LN	Substructure
G00083FE	GGM.000018	Lewis x	Substructure
G00083FE	GGM.000019	Lewis y	Substructure
G00083FE	GGM.000020	Lewis a	Substructure
G00083FE	GGM.000021	Lewis b	Substructure
G00083FE	GGM.000036	Blood group H (type 2)	Substructure
G00083FE	GGM.000042	Blood group H (type 1)	Substructure
G00083FE	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00089VH	GGM.000001	Type 2 LN	Substructure
G00091UN	GGM.000001	Type 2 LN	Substructure
G00091UN	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00104PH	GGM.000001	Type 2 LN	Substructure
G00104PH	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00105XF	GGM.000001	Type 2 LN	Substructure
G00105XF	GGM.000005	Type 1 LN	Substructure
G00105XF	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00106LE	GGM.000001	Type 2 LN	Substructure
G00106LE	GGM.000005	Type 1 LN	Substructure
G00106LE	GGM.000018	Lewis x	Substructure
G00106LE	GGM.000020	Lewis a	Substructure
G00106LE	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00106LE	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00106LE	GGM.000025	6'-Sulfo-sialyl Lewis x	Nonreducing-End
G00106LE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00112IO	GGM.000001	Type 2 LN	Substructure
G00112IO	GGM.000005	Type 1 LN	Substructure
G00113FP	GGM.000001	Type 2 LN	Substructure
G00113FP	GGM.000002	Type 2 LN2	Substructure
G00113FP	GGM.000018	Lewis x	Substructure
G00113FP	GGM.000031	Lex-Lex	Substructure
G00124PC	GGM.000001	Type 2 LN	Substructure
G00124PC	GGM.000005	Type 1 LN	Substructure
G00124PC	GGM.000018	Lewis x	Substructure
G00124PC	GGM.000020	Lewis a	Substructure
G00124PC	GGM.000036	Blood group H (type 2)	Substructure
G00124PC	GGM.000042	Blood group H (type 1)	Substructure
G00139WK	GGM.000005	Type 1 LN	Substructure
G00140YZ	GGM.000001	Type 2 LN	Substructure
G00152IK	GGM.000001	Type 2 LN	Substructure
G00152IK	GGM.000005	Type 1 LN	Substructure
G00152IK	GGM.000018	Lewis x	Substructure
G00152IK	GGM.000020	Lewis a	Substructure
G00152SF	GGM.000001	Type 2 LN	Substructure
G00152SF	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00152UP	GGM.000001	Type 2 LN	Substructure
G00152UP	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00155YT	GGM.000001	Type 2 LN	Substructure
G00155YT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00157WT	GGM.000001	Type 2 LN	Substructure
G00157WT	GGM.000005	Type 1 LN	Substructure
G00157WT	GGM.000020	Lewis a	Substructure
G00157WT	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00164QP	GGM.000001	Type 2 LN	Substructure
G00164QP	GGM.000005	Type 1 LN	Substructure
G00164QP	GGM.000036	Blood group H (type 2)	Substructure
G00164QP	GGM.000038	Blood group A (type 2)	Substructure
G00164QP	GGM.000042	Blood group H (type 1)	Substructure
G00164QP	GGM.000044	Blood group A (type 1)	Substructure
G00167VE	GGM.000001	Type 2 LN	Substructure
G00167VE	GGM.000016	LacdiNAc	Substructure
G00175GT	GGM.000001	Type 2 LN	Substructure
G00186OS	GGM.000001	Type 2 LN	Substructure
G00186OS	GGM.000015	a-Gal antigen	Substructure
G00196CO	GGM.000001	Type 2 LN	Substructure
G00196CO	GGM.000036	Blood group H (type 2)	Substructure
G00199AH	GGM.000001	Type 2 LN	Substructure
G00199AH	GGM.000015	a-Gal antigen	Substructure
G00199AH	GGM.000036	Blood group H (type 2)	Substructure
G00199AH	GGM.000038	Blood group A (type 2)	Substructure
G00199AH	GGM.000041	Blood group A2 (A-associated H type 3)	Substructure
G00201AB	GGM.000001	Type 2 LN	Substructure
G00201AB	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00207YQ	GGM.000001	Type 2 LN	Substructure
G00207YQ	GGM.000005	Type 1 LN	Substructure
G00209ZX	GGM.000005	Type 1 LN	Substructure
G00210ZX	GGM.000001	Type 2 LN	Substructure
G00210ZX	GGM.000018	Lewis x	Substructure
G00210ZX	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00210ZX	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00211WY	GGM.000001	Type 2 LN	Substructure
G00211WY	GGM.000018	Lewis x	Substructure
G00211WY	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00212RH	GGM.000001	Type 2 LN	Substructure
G00212RH	GGM.000015	a-Gal antigen	Substructure
G00219DO	GGM.000001	Type 2 LN	Substructure
G00219DO	GGM.000016	LacdiNAc	Substructure
G00221CZ	GGM.000001	Type 2 LN	Substructure
G00227RN	GGM.000001	Type 2 LN	Substructure
G00227RN	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00230CO	GGM.000016	LacdiNAc	Substructure
G00230CO	GGM.000049	4'-sulfated LDN	Substructure
G00230IL	GGM.000001	Type 2 LN	Substructure
G00230IL	GGM.000002	Type 2 LN2	Substructure
G00230IL	GGM.000005	Type 1 LN	Substructure
G00230IL	GGM.000006	Type 1 LN2	Substructure
G00230IL	GGM.000018	Lewis x	Substructure
G00230IL	GGM.000019	Lewis y	Substructure
G00230IL	GGM.000020	Lewis a	Substructure
G00230IL	GGM.000021	Lewis b	Substructure
G00230IL	GGM.000036	Blood group H (type 2)	Substructure
G00230IL	GGM.000042	Blood group H (type 1)	Substructure
G00230IL	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00231IQ	GGM.000016	LacdiNAc	Substructure
G00231WL	GGM.000001	Type 2 LN	Substructure
G00231WL	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00234GG	GGM.000001	Type 2 LN	Substructure
G00234GG	GGM.000005	Type 1 LN	Substructure
G00234MX	GGM.000001	Type 2 LN	Substructure
G00234MX	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00238FA	GGM.000015	a-Gal antigen	Substructure
G00241VQ	GGM.000001	Type 2 LN	Substructure
G00241VQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00247PL	GGM.000001	Type 2 LN	Substructure
G00248DH	GGM.000001	Type 2 LN	Substructure
G00248DH	GGM.000002	Type 2 LN2	Substructure
G00248DH	GGM.000003	I antigen	Substructure
G00248DH	GGM.000005	Type 1 LN	Substructure
G00248DH	GGM.000006	Type 1 LN2	Substructure
G00248DH	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00249IY	GGM.000001	Type 2 LN	Substructure
G00249IY	GGM.000005	Type 1 LN	Substructure
G00249IY	GGM.000018	Lewis x	Substructure
G00249IY	GGM.000020	Lewis a	Substructure
G00249IY	GGM.000036	Blood group H (type 2)	Substructure
G00249IY	GGM.000042	Blood group H (type 1)	Substructure
G00249XF	GGM.000001	Type 2 LN	Substructure
G00249XF	GGM.000005	Type 1 LN	Substructure
G00250DZ	GGM.000001	Type 2 LN	Substructure
G00250DZ	GGM.000005	Type 1 LN	Substructure
G00250DZ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00254JB	GGM.000001	Type 2 LN	Substructure
G00254JB	GGM.000005	Type 1 LN	Substructure
G00254JB	GGM.000015	a-Gal antigen	Substructure
G00254JB	GGM.000036	Blood group H (type 2)	Substructure
G00254JB	GGM.000037	Blood group B (type 2)	Substructure
G00254JB	GGM.000042	Blood group H (type 1)	Substructure
G00254JB	GGM.000043	Blood group B (type 1)	Substructure
G00257RE	GGM.000001	Type 2 LN	Substructure
G00257RE	GGM.000005	Type 1 LN	Substructure
G00257RE	GGM.000018	Lewis x	Substructure
G00257RE	GGM.000020	Lewis a	Substructure
G00257UQ	GGM.000001	Type 2 LN	Substructure
G00257UQ	GGM.000005	Type 1 LN	Substructure
G00257UQ	GGM.000018	Lewis x	Substructure
G00257UQ	GGM.000020	Lewis a	Substructure
G00257UQ	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00257UQ	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00257UQ	GGM.000026	2,6-sialyl-Sulfo-LN	Nonreducing-End
G00257UQ	GGM.000027	6-Sulfo-sialyl Lewis x	Nonreducing-End
G00257UQ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00272VU	GGM.000001	Type 2 LN	Substructure
G00272VU	GGM.000018	Lewis x	Substructure
G00274WK	GGM.000001	Type 2 LN	Substructure
G00274WK	GGM.000015	a-Gal antigen	Substructure
G00277SO	GGM.000001	Type 2 LN	Substructure
G00277SO	GGM.000005	Type 1 LN	Substructure
G00277SO	GGM.000018	Lewis x	Substructure
G00277SO	GGM.000020	Lewis a	Substructure
G00279YF	GGM.000016	LacdiNAc	Substructure
G00281HB	GGM.000001	Type 2 LN	Substructure
G00281HB	GGM.000005	Type 1 LN	Substructure
G00282XO	GGM.000117	GQ1c	Whole-Glycan
G00287UD	GGM.000001	Type 2 LN	Substructure
G00288QM	GGM.000015	a-Gal antigen	Substructure
G00288RP	GGM.000001	Type 2 LN	Substructure
G00288RP	GGM.000036	Blood group H (type 2)	Substructure
G00294BL	GGM.000005	Type 1 LN	Substructure
G00294BL	GGM.000020	Lewis a	Substructure
G00294TN	GGM.000005	Type 1 LN	Substructure
G00294TN	GGM.000042	Blood group H (type 1)	Substructure
G00298LF	GGM.000001	Type 2 LN	Substructure
G00298LF	GGM.000005	Type 1 LN	Substructure
G00298LF	GGM.000018	Lewis x	Substructure
G00298LF	GGM.000019	Lewis y	Substructure
G00298LF	GGM.000036	Blood group H (type 2)	Substructure
G00298LF	GGM.000042	Blood group H (type 1)	Substructure
G00298LF	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00301DC	GGM.000001	Type 2 LN	Substructure
G00301DC	GGM.000005	Type 1 LN	Substructure
G00301DC	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00318AV	GGM.000001	Type 2 LN	Substructure
G00318AV	GGM.000005	Type 1 LN	Substructure
G00318AV	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00320ZP	GGM.000005	Type 1 LN	Substructure
G00321UH	GGM.000001	Type 2 LN	Substructure
G00321UH	GGM.000002	Type 2 LN2	Substructure
G00328AZ	GGM.000001	Type 2 LN	Substructure
G00328AZ	GGM.000002	Type 2 LN2	Substructure
G00328CG	GGM.000001	Type 2 LN	Substructure
G00328CG	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00331XG	GGM.000001	Type 2 LN	Substructure
G00331XG	GGM.000005	Type 1 LN	Substructure
G00331XG	GGM.000015	a-Gal antigen	Substructure
G00335JE	GGM.000001	Type 2 LN	Substructure
G00336XG	GGM.000001	Type 2 LN	Substructure
G00336XG	GGM.000002	Type 2 LN2	Substructure
G00336XG	GGM.000005	Type 1 LN	Substructure
G00336XG	GGM.000006	Type 1 LN2	Substructure
G00336XG	GGM.000015	a-Gal antigen	Substructure
G00340NM	GGM.000001	Type 2 LN	Substructure
G00340NM	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00349CA	GGM.000001	Type 2 LN	Substructure
G00357HK	GGM.000001	Type 2 LN	Substructure
G00357HK	GGM.000005	Type 1 LN	Substructure
G00357HK	GGM.000018	Lewis x	Substructure
G00361LC	GGM.000001	Type 2 LN	Substructure
G00361LC	GGM.000005	Type 1 LN	Substructure
G00361LC	GGM.000018	Lewis x	Substructure
G00361LC	GGM.000020	Lewis a	Substructure
G00368HM	GGM.000001	Type 2 LN	Substructure
G00369RM	GGM.000001	Type 2 LN	Substructure
G00369RM	GGM.000018	Lewis x	Substructure
G00370EI	GGM.000001	Type 2 LN	Substructure
G00370EI	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00371DJ	GGM.000005	Type 1 LN	Substructure
G00371DJ	GGM.000020	Lewis a	Substructure
G00372ZO	GGM.000016	LacdiNAc	Substructure
G00376RB	GGM.000001	Type 2 LN	Substructure
G00376RB	GGM.000036	Blood group H (type 2)	Substructure
G00379PJ	GGM.000015	a-Gal antigen	Substructure
G00379PJ	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G00381SH	GGM.000001	Type 2 LN	Substructure
G00383NC	GGM.000001	Type 2 LN	Substructure
G00383YF	GGM.000001	Type 2 LN	Substructure
G00394CR	GGM.000001	Type 2 LN	Substructure
G00394QB	GGM.000015	a-Gal antigen	Substructure
G00396IE	GGM.000001	Type 2 LN	Substructure
G00401IE	GGM.000015	a-Gal antigen	Substructure
G00402KT	GGM.000001	Type 2 LN	Substructure
G00402KT	GGM.000002	Type 2 LN2	Substructure
G00402KT	GGM.000004	i antigen	Substructure
G00402KT	GGM.000018	Lewis x	Substructure
G00402KT	GGM.000031	Lex-Lex	Substructure
G00405TO	GGM.000001	Type 2 LN	Substructure
G00405TO	GGM.000005	Type 1 LN	Substructure
G00405TO	GGM.000018	Lewis x	Substructure
G00405TO	GGM.000019	Lewis y	Substructure
G00405TO	GGM.000020	Lewis a	Substructure
G00405TO	GGM.000021	Lewis b	Substructure
G00405TO	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00405TO	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00405TO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00405TO	GGM.000036	Blood group H (type 2)	Substructure
G00405TO	GGM.000042	Blood group H (type 1)	Substructure
G00405TO	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00407UJ	GGM.000099	Asialo-GM1	Whole-Glycan
G00410BM	GGM.000001	Type 2 LN	Substructure
G00410BM	GGM.000005	Type 1 LN	Substructure
G00413UF	GGM.000001	Type 2 LN	Substructure
G00418DG	GGM.000001	Type 2 LN	Substructure
G00418DG	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00420CS	GGM.000001	Type 2 LN	Substructure
G00420CS	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00423IN	GGM.000001	Type 2 LN	Substructure
G00423IN	GGM.000005	Type 1 LN	Substructure
G00423IN	GGM.000018	Lewis x	Substructure
G00423IN	GGM.000020	Lewis a	Substructure
G00428HK	GGM.000001	Type 2 LN	Substructure
G00428HK	GGM.000015	a-Gal antigen	Substructure
G00428HK	GGM.000036	Blood group H (type 2)	Substructure
G00428HK	GGM.000037	Blood group B (type 2)	Substructure
G00429OU	GGM.000001	Type 2 LN	Substructure
G00429OU	GGM.000005	Type 1 LN	Substructure
G00429OU	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00430ZK	GGM.000001	Type 2 LN	Substructure
G00430ZK	GGM.000005	Type 1 LN	Substructure
G00430ZK	GGM.000020	Lewis a	Substructure
G00430ZK	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00432WV	GGM.000001	Type 2 LN	Substructure
G00432WV	GGM.000018	Lewis x	Substructure
G00435KL	GGM.000001	Type 2 LN	Substructure
G00435KX	GGM.000020	Lewis a	Substructure
G00438EF	GGM.000001	Type 2 LN	Substructure
G00438EF	GGM.000015	a-Gal antigen	Substructure
G00438EF	GGM.000018	Lewis x	Substructure
G00450EO	GGM.000001	Type 2 LN	Substructure
G00450EO	GGM.000005	Type 1 LN	Substructure
G00450EO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00451UT	GGM.000001	Type 2 LN	Substructure
G00451UT	GGM.000018	Lewis x	Substructure
G00451UT	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00451UT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00455MN	GGM.000001	Type 2 LN	Substructure
G00455MN	GGM.000002	Type 2 LN2	Substructure
G00455MN	GGM.000005	Type 1 LN	Substructure
G00455MN	GGM.000006	Type 1 LN2	Substructure
G00455MN	GGM.000015	a-Gal antigen	Substructure
G00455NP	GGM.000005	Type 1 LN	Substructure
G00455NP	GGM.000042	Blood group H (type 1)	Substructure
G00458CW	GGM.000001	Type 2 LN	Substructure
G00458CW	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00466XG	GGM.000001	Type 2 LN	Substructure
G00466XG	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00467QU	GGM.000001	Type 2 LN	Substructure
G00467QU	GGM.000018	Lewis x	Substructure
G00468IT	GGM.000001	Type 2 LN	Substructure
G00468IT	GGM.000005	Type 1 LN	Substructure
G00468IT	GGM.000015	a-Gal antigen	Substructure
G00468NI	GGM.000001	Type 2 LN	Substructure
G00470UO	GGM.000016	LacdiNAc	Substructure
G00471UP	GGM.000001	Type 2 LN	Substructure
G00471UP	GGM.000018	Lewis x	Substructure
G00480KJ	GGM.000001	Type 2 LN	Substructure
G00480NH	GGM.000001	Type 2 LN	Substructure
G00480NH	GGM.000036	Blood group H (type 2)	Substructure
G00484WE	GGM.000001	Type 2 LN	Substructure
G00488OU	GGM.000001	Type 2 LN	Substructure
G00488OU	GGM.000005	Type 1 LN	Substructure
G00488OU	GGM.000018	Lewis x	Substructure
G00488OU	GGM.000019	Lewis y	Substructure
G00488OU	GGM.000020	Lewis a	Substructure
G00488OU	GGM.000021	Lewis b	Substructure
G00488OU	GGM.000036	Blood group H (type 2)	Substructure
G00488OU	GGM.000042	Blood group H (type 1)	Substructure
G00488OU	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00491BE	GGM.000001	Type 2 LN	Substructure
G00491BE	GGM.000005	Type 1 LN	Substructure
G00491BE	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00496OX	GGM.000001	Type 2 LN	Substructure
G00496OX	GGM.000036	Blood group H (type 2)	Substructure
G00496OX	GGM.000038	Blood group A (type 2)	Substructure
G00500HT	GGM.000001	Type 2 LN	Substructure
G00500HT	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00503EE	GGM.000001	Type 2 LN	Substructure
G00504PK	GGM.000001	Type 2 LN	Substructure
G00504PZ	GGM.000001	Type 2 LN	Substructure
G00505QC	GGM.000016	LacdiNAc	Substructure
G00505QC	GGM.000017	Fucosylated LDN	Substructure
G00506NQ	GGM.000001	Type 2 LN	Substructure
G00506NQ	GGM.000002	Type 2 LN2	Substructure
G00506NQ	GGM.000018	Lewis x	Substructure
G00506NQ	GGM.000019	Lewis y	Substructure
G00506NQ	GGM.000031	Lex-Lex	Substructure
G00506NQ	GGM.000036	Blood group H (type 2)	Substructure
G00506NQ	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00506ZX	GGM.000001	Type 2 LN	Substructure
G00506ZX	GGM.000005	Type 1 LN	Substructure
G00506ZX	GGM.000015	a-Gal antigen	Substructure
G00511LE	GGM.000016	LacdiNAc	Substructure
G00514XC	GGM.000001	Type 2 LN	Substructure
G00519UD	GGM.000001	Type 2 LN	Substructure
G00520NI	GGM.000001	Type 2 LN	Substructure
G00520NI	GGM.000002	Type 2 LN2	Substructure
G00520NI	GGM.000004	i antigen	Substructure
G00520NI	GGM.000035	6-Sialyl-GalNAc	Nonreducing-End
G00521FQ	GGM.000001	Type 2 LN	Substructure
G00521FQ	GGM.000002	Type 2 LN2	Substructure
G00521FQ	GGM.000003	I antigen	Substructure
G00521FQ	GGM.000004	i antigen	Substructure
G00521FQ	GGM.000005	Type 1 LN	Substructure
G00521FQ	GGM.000006	Type 1 LN2	Substructure
G00521FQ	GGM.000007	Type 1 LN3	Substructure
G00521FQ	GGM.000036	Blood group H (type 2)	Substructure
G00521FQ	GGM.000042	Blood group H (type 1)	Substructure
G00523PT	GGM.000001	Type 2 LN	Substructure
G00523PT	GGM.000005	Type 1 LN	Substructure
G00523PT	GGM.000036	Blood group H (type 2)	Substructure
G00523PT	GGM.000038	Blood group A (type 2)	Substructure
G00523PT	GGM.000042	Blood group H (type 1)	Substructure
G00523PT	GGM.000044	Blood group A (type 1)	Substructure
G00531ZU	GGM.000001	Type 2 LN	Substructure
G00531ZU	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00531ZU	GGM.000036	Blood group H (type 2)	Substructure
G00531ZU	GGM.000038	Blood group A (type 2)	Substructure
G00536FZ	GGM.000001	Type 2 LN	Substructure
G00542QA	GGM.000001	Type 2 LN	Substructure
G00542QA	GGM.000005	Type 1 LN	Substructure
G00542QA	GGM.000018	Lewis x	Substructure
G00542QA	GGM.000020	Lewis a	Substructure
G00544JF	GGM.000001	Type 2 LN	Substructure
G00544JF	GGM.000005	Type 1 LN	Substructure
G00545NQ	GGM.000001	Type 2 LN	Substructure
G00545NQ	GGM.000002	Type 2 LN2	Substructure
G00546ZA	GGM.000001	Type 2 LN	Substructure
G00546ZA	GGM.000005	Type 1 LN	Substructure
G00546ZA	GGM.000015	a-Gal antigen	Substructure
G00547ZN	GGM.000016	LacdiNAc	Substructure
G00547ZN	GGM.000049	4'-sulfated LDN	Substructure
G00550RP	GGM.000001	Type 2 LN	Substructure
G00550RP	GGM.000005	Type 1 LN	Substructure
G00550RP	GGM.000015	a-Gal antigen	Substructure
G00550RP	GGM.000018	Lewis x	Substructure
G00550RP	GGM.000020	Lewis a	Substructure
G00551JZ	GGM.000001	Type 2 LN	Substructure
G00551JZ	GGM.000005	Type 1 LN	Substructure
G00553AN	GGM.000001	Type 2 LN	Substructure
G00553AN	GGM.000005	Type 1 LN	Substructure
G00553AN	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00560KG	GGM.000001	Type 2 LN	Substructure
G00560KG	GGM.000018	Lewis x	Substructure
G00569WM	GGM.000005	Type 1 LN	Substructure
G00569WM	GGM.000006	Type 1 LN2	Substructure
G00572SI	GGM.000001	Type 2 LN	Substructure
G00572SI	GGM.000005	Type 1 LN	Substructure
G00574FR	GGM.000001	Type 2 LN	Substructure
G00574FR	GGM.000005	Type 1 LN	Substructure
G00574FR	GGM.000018	Lewis x	Substructure
G00574FR	GGM.000020	Lewis a	Substructure
G00574FR	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00574FR	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00574FR	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00582VL	GGM.000016	LacdiNAc	Substructure
G00582VL	GGM.000049	4'-sulfated LDN	Substructure
G00584KG	GGM.000001	Type 2 LN	Substructure
G00584KG	GGM.000005	Type 1 LN	Substructure
G00584KG	GGM.000018	Lewis x	Substructure
G00584KG	GGM.000020	Lewis a	Substructure
G00584LL	GGM.000001	Type 2 LN	Substructure
G00584LL	GGM.000002	Type 2 LN2	Substructure
G00584LL	GGM.000018	Lewis x	Substructure
G00586TU	GGM.000016	LacdiNAc	Substructure
G00591PZ	GGM.000001	Type 2 LN	Substructure
G00594AV	GGM.000001	Type 2 LN	Substructure
G00594AV	GGM.000002	Type 2 LN2	Substructure
