glytoucan_acc	glytoucan_type	glycan_mass	glycan_permass	base_composition	composition	topology	monosaccharides
G00041MO	Saccharide	424.16930991		G27391WQ	G94131HY	G86947FH	2
G00042MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G68646SF	2
G00043MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G23854HB	2
G00044MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G43482PE	2
G00046MO	Saccharide	342.1162117	454.24141226	G90627TW	G90960QG	G61666PA	2
G00047MO	Saccharide	529.200669675	669.357170375	G54129SE	G02497EU	G22725MK	3
G00048MO	Saccharide	675.258578545	843.446379385	G82458HY	G22979OY	G27653YS	4
G00049MO	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G44029SF	4
G00050MO	Saccharide	853.306316675	1077.5567178	G54630CD	G82935CH	G29900GO	5
G00051MO	Saccharide	529.200669675	669.357170375	G54129SE	G02497EU	G22725MK	3
G00052MO	Saccharide	675.258578545	843.446379385	G82458HY	G22979OY	G27653YS	4
G00053MO	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G12750SG	4
G00054MO	Saccharide	820.29608631	1030.53083736	G42932DS	G58879PQ	G12750SG	4
G00055MO	Saccharide	383.142760805	495.267961365	G43417UB	G08749AK	G80981NI	2
G00056HH	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G10328BW	12
G00056MO	Saccharide	383.142760805	495.267961365	G43417UB	G08749AK	G80981NI	2
G00057LF	Composition	1931.68758926	2408.21969164	G15175QG	G00057LF		10
G00057MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G31801IX	2
G00058MO	Saccharide	748.27495691	944.49405789	G53434XO	G83574AW	G72872SQ	4
G00058XR	Saccharide	625.152398895	765.308899595	G00058XR			3
G00059MO	Saccharide	504.1690352	658.34118597	G39365VM	G09269CO	G78242EN	3
G00060BT	Saccharide	869.301231305	1107.56728249	G15666IG	G13628FE	G60795RI	5
G00060MO	Saccharide	869.301231305	1107.56728249	G15666IG	G47397QL	G09947IM	5
G00061MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G81647RY	4
G00062MO	Saccharide	1039.37037354	1305.66772487	G49139YY	G83604ZB	G11535IP	5
G00063MO	Saccharide	1168.41296668	1462.74161815	G10057RC	G03476LE	G31008GE	5
G00064MO	Saccharide	910.32778041	1148.5938316	G28681TP	G17387JZ	G89203PY	5
G00065MO	Saccharide	674.23817744	856.44162835	G22312GP	G37772BP	G90852NI	3
G00066MO	Saccharide	529.200669675	669.357170375	G54129SE	G30886AB	G11863LK	3
G00066WY	Composition	910.32778041	1148.5938316	G28681TP	G00066WY		5
G00067MO	Saccharide	488.17412057	628.33062127	G89864HJ	G09551MC	G49295JM	3
G00068MO	Saccharide	326.12129707	424.23084756	G08453HV	G53862OE	G44794CK	2
G00069MO	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G97048GO	4
G00070MO	Saccharide	707.248407805	903.467508785	G08590QR	G47270FQ	G97048GO	4
G00071MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G07227QC	4
G00072MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G15216HY	4
G00076PK	Saccharide	545.195584305	699.367735075	G05394UY	G22331NZ	G24735SG	3
G00089VH	Saccharide	2019.70363329	2524.2670358	G75764QI	G43275VO	G33365UE	10
G00091RT	Saccharide	828.2746822	1066.54073339	G84322TE	G87830MO	G75449PM	5
G00094SE	Saccharide	1300.49161099	1608.83591253	G60060GI	G40547YM	G15654DH	7
G00105XF	Topology	1931.68758926	2408.21969164	G15175QG	G91360AG	G00105XF	10
G00106LE	Topology	900.2529009	1096.47200188	G73357FZ	G98044QF	G00106LE	4
G00112IO	Saccharide	1521.5815483	1900.00410019	G78480MT	G98829XK	G93493GN	8
G00116QX	Composition	1170.42861675	1478.77291829	G62000JW	G00116QX		5
G00120QS	Saccharide	748.27495691	944.49405789	G53434XO	G13934DF	G86427WL	4
G00140XB	Saccharide	342.1162117	454.24141226	G90627TW	G91902ZT	G15765GX	2
G00140YZ	Saccharide	896.34851585	1134.61456704	G00229TF	G42231PV	G88938QF	5
G00141ZD	Saccharide	504.1690352	658.34118597	G39365VM	G86570NJ	G03830VF	3
G00152LK	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G64642ML	6
G00153LJ	Saccharide	504.1690352	658.34118597	G39365VM	G89489JX	G68750IZ	3
G00155YT	Saccharide	2442.87769423	3031.53499717	G17168EK	G44930VK	G22876EV	13
G00157WT	Saccharide	2020.72403439	2511.27178684	G97357RI	G13891WJ	G05982NK	11
G00167VE	Saccharide	2192.8088267	2711.38787929	G69364JQ	G02253SS	G66968GR	12
G00175GT	Saccharide	748.27495691	944.49405789	G53434XO	G83574AW	G76990YK	4
G00176HZ	Saccharide	1868.7031797	2303.18833187	G55382TU	G76945EC	G52953WI	10
G00185NL	Composition	1932.70799036	2395.22444267	G60923RB	G00185NL		11
G00186OS	Saccharide	1948.70290499	2425.23500737	G09197ZW	G96870OT	G77828QM	11
G00194GV	BaseComposition	367.147846175	465.257396665	G00194GV			2
G00194ZL	Saccharide	406.04172615	490.13562657	G18081CC	G47973RQ	G89518IN	2
G00199JR	Saccharide	869.301231305	1107.56728249	G15666IG	G13628FE	G38100RQ	5
G00204EX	Composition	1437.51280002	1801.91970183	G39446WN	G00204EX		8
G00207YQ	Topology	1802.64499612	2251.14579836	G02886BB	G60742LQ	G00207YQ	10
G00211WY	Saccharide	2239.79832162	2786.40867436	G92357TM	G39456KE		12
G00212ZT	Saccharide	1355.45970181	1719.86660362	G85945LZ	G54095ZD	G46861ZO	8
G00219DO	Saccharide	1827.6766306	2262.16178277	G68318VE	G86996BA	G53113PI	10
G00219VH	Saccharide	424.16930991	536.29451047	G71838YU	G94131HY	G86947FH	2
G00221CZ	Saccharide	2208.80374133	2741.39844399	G49906RN	G15971GJ	G51858NL	12
G00227RN	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G01972UA	15
G00229TF	BaseComposition	896.34851585	1134.61456704	G00229TF			5
G00229VQ	BaseComposition	953.369979585	1205.65168084	G00229VQ			5
G00230CO	Saccharide	2028.61680888	2435.07066091	G71640LP	G37384PG	G39484PO	10
G00230IL	Topology	1699.65443856	2106.1082906	G89613NY	G18517UV	G00230IL	10
G00231WL	Saccharide	3470.15753819	4269.04959219	G87008YB	G61737PU	G73453VT	17
G00232ED	Saccharide	2052.67095295	2515.18740526	G00232ED			10
G00247JV	Saccharide	1882.64472141	2373.19247386	G80920RR	G22428GQ	G49504RV	11
G00247PL	Saccharide	1786.65008149	2221.13523366	G83555HU	G76605ZF	G49086NE	10
G00249IY	Saccharide	1932.70799036	2395.22444267	G60923RB	G81910EG	G06874SI	11
G00257UQ	Topology	1558.49616371	1922.90306553	G13789CZ	G83482GN	G00257UQ	7
G00272VU	Saccharide	1405.52297075	1741.89857243	G28997IA	G40354OA	G76336SS	8
G00277SO	Topology	1243.47014726	1537.79879873	G61099GA	G06194QO	G00277SO	7
G00279YF	Saccharide	1722.64527083	2129.09912286	G83633GK	G83390KL	G09082RG	9
G00281HB	Saccharide	1599.56562351	2006.01947554	G72735IY	G70162OM	G95951LZ	9
G00283TT	Saccharide	513.205755045	639.346605675	G01666TL	G33082XF	G53026JC	3
G00284SJ	Topology	1234.43342741	1556.79337902	G02815KT	G46969RI	G00284SJ	7
G00287UD	Saccharide	1521.5815483	1900.00410019	G78480MT	G30213GE	G80569XM	8
G00288QM	Topology	1072.38060391	1352.69360531	G92050GC	G38754EC	G00288QM	6
G00294BL	Saccharide	693.269143245	889.488244225	G24289SQ	G97732UQ	G02807LM	4
G00294TN	Saccharide	691.253493175	873.456944085	G11235SR	G03577SC	G18750NX	4
G00298HY	Saccharide	586.22213341	740.39428418	G58001LT	G92411CL	G77956CJ	3
G00306VT	Saccharide	488.17412057	628.33062127	G89864HJ	G09551MC	G15033VO	3
G00311MF	Topology	545.195584305	699.367735075	G05394UY	G75641SG	G00311MF	3
G00313OR	BaseComposition	1033.36970488	1327.69835634	G00313OR			6
G00318AV	Saccharide	2368.84091476	2943.48256763	G42039FI	G83385WA	G69616RY	12
G00320ZP	Saccharide	2513.87842253	3130.56702561	G84044GC	G88057TN	G72179WW	12
G00328CG	Saccharide	2513.87842253	3130.56702561	G84044GC	G88057TN	G13710XN	12
G00328HB	Saccharide	1234.43342741	1556.79337902	G02815KT	G89929IA	G12149HM	7
G00331XG	Topology	2315.85075117	2890.49240404	G62913ZS	G99168JE	G00331XG	13
G00335DM	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G87354OO	8
G00335JE	Saccharide	1055.36528817	1335.67828958	G48712FQ	G13771ME	G96349IQ	5
G00336XG	Topology	1437.51280002	1801.91970183	G39446WN	G20034JD	G00336XG	8
G00361YF	Saccharide	1722.64527083	2129.09912286	G83633GK	G30306AR	G20045DK	9
G00362UY	Saccharide	367.147846175	465.257396665	G00194GV	G34329HY	G72745TM	2
G00370EI	Saccharide	1160.39664794	1468.74094948	G71529UW	G27287UI	G64433JO	6
G00371DJ	Saccharide	732.28004228	914.48349319	G94583DZ	G61985YC	G38215XX	4
G00376RB	Saccharide	1553.5965297	1932.01908159	G57308IZ	G46103VI	G48474NX	9
G00379PJ	Topology	1039.37037354	1305.66772487	G49139YY	G49520SO	G00379PJ	5
G00381YD	Topology	1398.50190098	1776.92445287	G96042XF	G98643XP	G00381YD	8
G00383YF	Saccharide	2046.75091783	2537.29867028	G43769HG	G19504QQ	G06302GP	11
G00390GQ	BaseComposition	1330.46579018	1666.84139186	G00390GQ			6
G00395FS	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G00395TQ	Saccharide	894.33286578	1118.5832669	G93579XB	G12641NB	G19483CU	5
G00396DP	Topology	1218.43851278	1526.78281432	G82364UA	G32116PG	G00396DP	7
G00396IE	Saccharide	1786.65008149	2221.13523366	G83555HU	G01924ZE	G27658AJ	10
G00399LG	Saccharide	424.16930991	536.29451047	G71838YU	G94131HY	G31801IX	2
G00401IE	Topology	504.1690352	658.34118597	G39365VM	G89489JX	G00401IE	3
G00407UJ	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM		4
G00412SV	Saccharide	1594.58669329	1973.00924518	G81920JR	G74396AN	G66732FU	9
G00413UF	Saccharide	2587.915202	3218.61945515	G34447YB	G60942FK	G77329AN	13
G00428HK	Saccharide	1366.51207172	1716.90332347	G40699LE	G55178OM	G80362CW	8
G00430ZK	Saccharide	1841.65589516	2290.1566974	G64726EB	G88117JW	G65268SY	9
G00432WV	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G03799FY	12
G00433KW	Saccharide	1558.53907441	1964.99292644	G31852PQ	G53642AM	G15806UI	9
G00435KX	Saccharide	691.253493175	873.456944085	G11235SR	G03577SC	G91698GT	4
G00449DS	Composition	2093.74041275	2612.31946535	G91897BH	G00449DS		11
G00450EO	Topology	2079.76114819	2598.34020078	G66715AB	G51464JJ	G00450EO	11
G00451UT	Saccharide	3681.29614024	4564.28209465	G08182IE	G96816KA	G58170TE	18
G00454PR	Saccharide	342.1162117	454.24141226	G90627TW	G45116DB	G14967ME	2
G00457KD	Saccharide	513.205755045	639.346605675	G44607JV	G68438GJ	G22568JZ	3
G00459BD	Composition	2774.99965997	3433.73521326	G90066XJ	G00459BD		14
G00459HM	Saccharide	998.34382444	1264.64117577	G14090IF	G29847FN	G22875VT	5
G00461RR	Saccharide	1413.45865595	1735.81860755	G00461RR			7
G00461ZN	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G00463XD	Saccharide	2071.78255231	2548.31465468	G67367OT	G54800IU	G68500FC	11
G00467QU	Saccharide	1058.40133935	1338.71434075	G73134BJ	G43523SA	G46817ET	6
G00468KU	Saccharide	1478.53934912	1842.94625094	G72787SB	G32127JA	G18391DN	8
G00468NI	Saccharide	1055.36528817	1335.67828958	G48712FQ	G13771ME	G96349IQ	5
G00469BS	Saccharide	1300.49161099	1608.83591253	G60060GI	G21746LS	G50679XJ	7
G00470UO	Saccharide	2071.78255231	2548.31465468	G67367OT	G97684YT	G11275FH	11
G00480KJ	Saccharide	2077.74549812	2582.30890064	G70382FA	G54382UL	G23753FY	11
G00482HJ	Saccharide	709.264057875	919.498808925	G97735EJ	G46545JK	G09040YU	4
G00483IX	Saccharide	666.2218587	862.44095968	G90306QO	G65968NT	G93472KA	4
G00487XO	Saccharide	2044.69754491	2577.29224757	G83460ZZ	G91301DM	G27502BJ	12
G00488OU	Topology	2224.8238081	2743.40286069	G05933EN	G22270PZ	G00488OU	13
G00492CQ	Saccharide	1259.46506188	1567.80936342	G80475RE	G09140IH	G40932HD	7
G00503EE	Saccharide	2192.8088267	2711.38787929	G69364JQ	G95640AM	G96510EZ	12
G00504PK	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G63701SG	11
G00504PZ	Saccharide	1683.6343718	2104.1038739	G50558OY	G58155VH	G69655PI	9
G00510MX	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G66300WN	6
G00511LE	Topology	1722.64527083	2129.09912286	G83633GK	G83390KL	G00511LE	9
G00514XC	Saccharide	4046.42833634	5013.50819118	G22870HL	G55455VT	G73529JB	20
G00520NI	Saccharide	2683.94756477	3328.66746799	G54327SO	G26044CJ	G83344UL	12
G00523PT	Topology	937.375064955	1175.64111614	G02612GE	G32286UR	G00523PT	5
G00523YW	Saccharide	3318.1795942	4117.07164819	G12942NE	G24315MJ	G73817KF	17
G00527ZE	Topology	748.27495691	944.49405789	G53434XO	G13934DF	G00527ZE	4
G00531ZU	Saccharide	2280.82487073	2827.43522346	G81088WT	G57106ZI	G99663MH	12
G00536FZ	Saccharide	2192.8088267	2711.38787929	G69364JQ	G95640AM	G96510EZ	12
G00542QA	Topology	1097.41223838	1363.70958971	G02809YH	G23960RZ	G00542QA	6
G00544JF	Saccharide	1640.59217262	2047.04602465	G10486CT	G73811LP	G23934NS	9
G00545NQ	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G56675VL	11
G00547ZN	Saccharide	666.178948	806.3354487	G32406CO	G10714EP	G81895EG	3
G00551JZ	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI	G10328BW	12
G00553AN	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER		14
G00558IW	Saccharide	748.27495691	944.49405789	G53434XO	G51934ND	G60356JP	4
G00560KG	Saccharide	1772.67081693	2207.1559691	G93170PH	G59437VP	G87772NA	10
G00565QJ	Saccharide	1316.48652562	1638.84647723	G35029YA	G92185NI	G69008IB	7
G00568LN	Saccharide	830.32805512	1026.5471561	G84435MS	G11427SW	G57309FD	4
G00582VL	Saccharide	1866.60689608	2287.07639818	G63236GA	G34574WR	G46539GP	10
G00586TU	Topology	2331.88338865	2864.4780913	G31028YV	G83975FN	G00586TU	12
G00588HO	Saccharide	2044.69754491	2577.29224757	G83460ZZ			12
G00594AV	Saccharide	4180.52263073	5161.61813563	G39258LN	G03176RC	G19793MN	23
G00594CD	Saccharide	910.32778041	1148.5938316	G28681TP	G28326HR	G89291WX	5
G00598SQ	Saccharide	2425.8623785	3014.51968144	G92821OG	G73510JF	G13485VB	12
G00601UG	Saccharide	1654.57143718	2075.04093928	G89773UM	G03031PQ	G51932GA	8
G00606LX	Saccharide	3101.14610918	3815.94426275	G78811TO	G72093CP	G26997WR	18
G00619DD	Saccharide	504.1690352	658.34118597	G39365VM	G39466FU	G65947ME	3
G00628MV	Composition	1259.46506188	1567.80936342	G80475RE	G00628MV		7
G00629YK	Saccharide	1396.48625091	1760.89315273	G41247ZX	G69667ML	G50264UK	8
G00631XZ	Saccharide	910.32778041	1148.5938316	G28681TP	G28326HR	G89291WX	5
G00633GI	Saccharide	1802.64499612	2251.14579836	G02886BB	G99872BC	G61431CZ	10
G00641XC	Topology	959.290014705	1183.54041583	G84323AK	G03042EN	G00641XC	4
G00644ZZ	Saccharide	2044.69754491	2577.29224757	G83460ZZ	G91301DM	G27502BJ	12
G00646SN	Saccharide	2881.0262687	3595.82442227	G65117IS	G78221KA	G25467PR	14
G00650AC	Saccharide	2094.76081386	2599.32421638	G16175ZV	G76776CG		12
G00653TI	Saccharide	1464.56008456	1828.96698638	G59203XD	G79157DT	G71403JN	8
G00657YY	Topology	750.29060698	960.52535803	G63274DW	G24972VM	G00657YY	4
G00659GQ	Saccharide	980.20971549	1162.4131664	G20710WH	G88370GO	G59594TK	4
G00662IB	Saccharide	2879.01061863	3579.79312213	G98715EM	G58318SA	G26085RC	14
G00662UH	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER	G15212GE	14
G00666EC	Saccharide	3520.26371785	4347.18707197	G56974XT	G94295ZU	G59373MO	18
G00667RI	Saccharide	1152.3803292	1474.74028081	G55913GS	G01190ZZ	G18635IL	7
G00670OT	Saccharide	1843.67154523	2292.17234747	G65184UU	G31831PV	G69758RM	10
G00672PE	Saccharide	900.2529009	1096.47200188	G73357FZ	G98044QF	G32987YD	4
G00674TY	Saccharide	545.195584305	699.367735075	G05394UY	G06708ZY	G81295UA	3
G00675GF	Saccharide	2078.76589923	2569.31365168	G87051GH	G36202LB	G99388YO	12
G00682IE	Saccharide	383.142760805	495.267961365				2
G00688TE	Saccharide	433.052625185		G26773ZT	G52925VL	G91902CD	2
G00688XN	Saccharide	1948.70290499	2425.23500737	G09197ZW	G88366NM		11
G00691LW	Saccharide	326.12129707	424.23084756	G08453HV	G53862OE	G44794CK	2
G00691NS	Saccharide	2882.0466698	3568.81352324	G55216FT	G81452FP	G04248AK	16
G00692HC	Topology	1667.63945717	2074.0933092	G02103WZ	G65333DX	G00692HC	9
G00695JO	Saccharide	1665.6238071	2058.06200906	G88725PI	G75496QY	G63462YW	9
G00702NP	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G64780OA	8
G00705GA	Saccharide	880.31721571	1104.56761683	G18999EB	G66541DL	G01747AF	5
G00705XW	Saccharide	1136.21895962	1332.4380606	G90116OB	G67439KO	G29574CC	5
G00706AL	Saccharide	2881.0262687	3595.82442227	G65117IS	G78221KA	G25467PR	14
G00706QN	Saccharide	1405.52297075	1741.89857243	G28997IA	G77714BM	G37585UQ	8
G00709CF	Saccharide	2321.85141983	2868.46177257	G09019XB	G23890JZ	G95210RX	12
G00709ZM	Saccharide	342.1162117	454.24141226	G90627TW	G45116DB	G64014BL	2
G00711NG	Saccharide	828.2746822	1066.54073339	G84322TE	G87830MO	G86447ZX	5
G00711QT	Saccharide	475.063189885		G66706SL	G75731FY	G06333MO	2
G00717KJ	Topology	1601.58127358	2022.05077568	G91780UX	G72881ZX	G00717KJ	9
G00728SN	Saccharide	1841.65589516	2290.1566974	G64726EB	G88117JW	G65268SY	9
G00729SA	Saccharide	1446.54951986	1782.92512154	G64876LY	G40407UW	G11104AQ	8
G00736XN	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G64642ML	6
G00741NZ	Saccharide	1761.61844701	2210.11924926	G13144LI	G52287BM	G33006JZ	10
G00743WU	Saccharide	2159.79859633	2664.36199885	G12621YH	G56450GE	G76497KR	11
G00745GK	Topology	789.301506015	985.520606995	G88713AC	G71743JP	G00745GK	4
G00747UC	Saccharide	2370.85656483	2945.4982177	G43669FQ	G57860PF	G19124GC	13
G00760ZJ	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G47720CJ	3
G00761OX	Saccharide	666.2218587	862.44095968	G90306QO	G88288TV	G93921SI	4
G00774OZ	Topology	1363.47602054	1713.86727229	G04371QE	G75178ER	G00774OZ	7
G00783PW	Topology	2030.7560032	2507.28810558	G56610MH	G52494WI	G00783PW	11
G00784PW	Saccharide	1316.48652562	1638.84647723	G35029YA	G00784PW		7
G00794UV	Composition	1305.4341557	1655.82540745	G74962OJ	G00794UV		6
G00797ZX	Saccharide	2914.06165121	3600.82850464	G51412NQ	G53292XG	G87279RC	17
G00798PL	Saccharide	1882.64472141	2373.19247386	G70101JE	G97496ZX	G65527PZ	11
G00800WJ	Saccharide	2733.97311086	3392.70866415	G25569EP	G58076ER	G94571WF	14
G00803PJ	Composition	990.3275057	1270.6405071	G32030CB	G00803PJ		6
G00805TZ	Saccharide	3158.16757291	3886.98137656	G38680WX	G52868DV	G37222TA	18
G00814BW	Saccharide	3025.0685275	3753.88233114	G13300LP	G28352HT	G25361EX	15
G00824LK	Composition	1483.48189383	1889.93574586	G70677AG	G00824LK		7
G00826SV	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G27860IO	11
G00828QE	Saccharide	2077.74549812	2582.30890064	G70382FA	G27058EU	G69350OZ	11
G00830CM	Saccharide	2134.76696186	2653.34601445	G46293AU	G39997WZ	G13359TO	11
G00839XF	Topology	1202.44359815	1496.77224962	G21726WW	G15666OL	G00839XF	7
G00842OY	Saccharide	2094.76081386	2599.32421638	G16175ZV	G99698TC	G46030ZM	12
G00850LT	Saccharide	1072.38060391	1352.69360531	G92050GC	G86052EW	G58858DY	6
G00851XQ	Saccharide	1583.57070888	1976.00891084	G15486FH	G34943QI	G97112CD	9
G00852XI	Topology	1302.50726106	1624.86721267	G78881HO	G03700LH	G00852XI	7
G00864TV	Saccharide	2151.78227759	2670.36133019	G44211QA	G15715XI		12
G00866EV	Topology	748.27495691	944.49405789	G53434XO	G46127DK	G00866EV	4
G00868ZN	Saccharide	1640.59217262	2047.04602465	G10486CT	G73811LP	G23934NS	9
G00868ZT	Saccharide	748.27495691	944.49405789	G53434XO	G83574AW	G43837UW	4
G00875VP	Saccharide	2222.78300589	2769.39335862	G49174JP	G73366EA	G38851IY	11
G00876GU	Saccharide	1882.64472141	2373.19247386	G80920RR	G14351DY	G96797KG	11
G00883DO	Saccharide	1640.59217262	2047.04602465	G10486CT	G73811LP	G23934NS	9
G00883ZT	Saccharide	1558.53907441	1964.99292644	G31852PQ	G45552IY	G71720UK	9
G00887EN	Saccharide	1072.38060391	1352.69360531	G66538GV	G74249RH		6
G00888JR	Saccharide	1464.56008456	1828.96698638	G59203XD	G81325LH	G63722ZU	8
G00891GP	Saccharide	1041.38602361	1321.69902501	G76500YL	G90320NJ	G05361BA	5
G00891MP	Saccharide	342.1162117	454.24141226	G90627TW	G85505CT	G69382ZH	2
G00895OR	Topology	2030.7560032	2507.28810558	G56610MH	G52494WI	G00895OR	11
G00897BY	Saccharide	1113.40715301	1393.72015442	G57317CE	G87030LJ	G69345JP	6
G00899CT	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G83914PP	3
G00900AZ	Saccharide	1462.54443449	1812.93568624	G25987BV	G69032VE	G62110XZ	8
G00901NZ	Saccharide	1243.47014726	1537.79879873	G61099GA	G06194QO	G89649RN	7
G00909GK	Saccharide	1519.56589823	1883.97280004	G49955PK	G96281OZ	G88489PQ	8
G00909PI	Saccharide	2587.915202	3218.61945515	G34447YB	G44018SV	G08875HF	13
G00910WD	Saccharide	3683.31179031	4580.31339479	G31822JI	G84022YT	G56023AW	18
G00912UN	Saccharide	2222.78300589	2769.39335862	G49174JP	G00912UN		11
G00915DI	Saccharide	998.34382444	1264.64117577	G14090IF	G79137ZX	G40667SS	5
G00917AF	Composition	869.301231305	1107.56728249	G15666IG	G00917AF		5
G00923KH	Saccharide	2384.83582939	2973.49313233	G63614XZ	G87834OS	G27327EI	12
G00924FH	Saccharide	894.33286578	1118.5832669	G93579XB	G99932KY	G67251TG	5
G00925PQ	Saccharide	1188.42794808	1482.75659955	G42032FN	G54509QP	G50806EJ	7
G00927ER	BaseComposition	1552.57612859	1945.01433055	G00927ER			8
G00936LV	Saccharide	1152.3803292	1474.74028081	G55913GS	G01190ZZ	G65533MH	7
G00936NZ	Saccharide	830.24742157	1026.46652255	G27605KR	G00936NZ		4
G00940RO	Composition	2283.86092191	2830.47127464	G80497IU	G00940RO		13
G00944OL	Saccharide	1841.65589516	2290.1566974	G64726EB	G88117JW	G65268SY	9
G00945TF	Topology	3697.29105487	4594.29265935	G01797UE	G71187JK	G00945TF	18
G00950FJ	Topology	1843.67154523	2292.17234747	G65184UU	G88620WF	G00950FJ	10
G00951UF	Saccharide	1925.72464343	2374.22544568	G73430PD	G53049OY	G36455GK	10
G00955WX	Saccharide	2296.81978536	2857.44578816	G52478RN	G52223PR	G81089BD	12
G00966RI	Saccharide	2005.72436873	2496.27212117	G60033FS	G50293LU	G25062BU	11
G00969CV	Topology	1421.51788538	1771.90913713	G10339FR	G06971WM	G00969CV	8
G00970CP	Saccharide	1580.53465771	1986.98850974	G34092QJ	G00970CP		7
G00972DY	Saccharide	1396.48625091	1760.89315273	G41247ZX	G28830ZA	G56336WP	8
G00975ZH	Topology	1201.42319704	1509.76749859	G75998XY	G62178NA	G00975ZH	6
G00977CB	Saccharide	312.105647	410.21519749	G25325JY	G71058CB	G38979OV	2
G00978GW	Saccharide	2207.80849236	2726.38754496	G95174IW	G95203RC	G52457VS	12
G00978TF	Saccharide	1275.45997651	1597.81992812	G57776ZU	G86288VS	G83155SV	7
