accession	gtc	name	redend	aglycon	altname1	altname2
87	G25216QA	Blood group B (type 4)	true	Cer		
88	G37830TX	Blood group A (type 4)	true	Cer		
89	G30207PZ	GM4	true	Cer		
90	G91237TK	GM3	true	Cer		
91	G98544DH	GD3	true	Cer		
92	G93899SO	GT3	true	Cer		
93	G98544DH	9-O-Acetyl GD3	true	Cer		
94	G02657AK	GD2	true	Cer		
95	G79389NT	GM2	true	Cer		
96	G56478LD	N-Glycolyl-GM2	true	Cer		
97	G13224CR	Sialopentaosylceramide	true	Cer		
98	G48558GR	GM1	true	Cer		
99	G21856LC	Asialo-GM1	true	Cer		
100	G03277YI	cisGM1	true	Cer	GM1b	
101	G91532KA	2-Fucosyl-GM1	true	Cer		
102	G11485ID	B-GM1	true	Cer		
103	G93694YU	2-Fucosyl-GD1b	true	Cer		
104	G72557NR	B-GD1b	true	Cer		
105	G81983KG	GD1	true	Cer	GD1c	
106	G45714BQ	GD1a	true	Cer		
107	G46677TE	GD1a	true	Cer		
108	G37184KW	GD1b	true	Cer		
109	G36476BA	GT2	true	Cer		
110	G68110IF	GT1a	true	Cer		
111	G02149VR	GT1aa	true	Cer		
112	G40183QN	GT1b	true	Cer		
113	G78818SP	GT1c	true	Cer		
114	G90598GO	GQ1aa	true	Cer		
115	G18625KA	GQ1b	true	Cer		
116	G54733XO	GQ1ba	true	Cer		
117	G99524KA	GQ1c	true	Cer		
118	G93805MV	GP1c	true	Cer		
119	G00552RX	GP1ca	true	Cer		
120	G14091MR	GH1cav	true	Cer		
121	G64227KZ	Mono-fucosyl LN5	true	Cer		
122	G65223RT	Mono-fucosyl LN3	true	Cer		
