ncbi_gene_id	gene_symbol	association_type	disease_id	source
NCBIGene:6890	TAP1	MENDELIAN	OMIM:604571	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6891	TAP2	MENDELIAN	OMIM:604571	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7068	THRB	MENDELIAN	OMIM:274300	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51099	ABHD5	MENDELIAN	OMIM:275630	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:275	AMT	MENDELIAN	OMIM:605899	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2731	GLDC	MENDELIAN	OMIM:605899	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:149775	GNAS-AS1	MENDELIAN	OMIM:603233	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2778	GNAS	MENDELIAN	OMIM:603233	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8675	STX16	MENDELIAN	OMIM:603233	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54714	CNGB3	MENDELIAN	OMIM:262300	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2073	ERCC5	MENDELIAN	OMIM:616570	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:396	ARHGDIA	MENDELIAN	OMIM:615244	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:201163	FLCN	MENDELIAN	OMIM:173600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:283489	CHAMP1	MENDELIAN	OMIM:616579	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:84665	MYPN	MENDELIAN	OMIM:615248	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:166378	AFG2A	MENDELIAN	OMIM:616577	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4790	NFKB1	MENDELIAN	OMIM:616576	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:84197	POMK	MENDELIAN	OMIM:615249	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:81846	SBF2	MENDELIAN	OMIM:604563	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54795	TRPM4	MENDELIAN	OMIM:604559	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1369	CPN1	MENDELIAN	OMIM:212070	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3190	HNRNPK	MENDELIAN	OMIM:616580	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5832	ALDH18A1	MENDELIAN	OMIM:616586	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:657	BMPR1A	MENDELIAN	OMIM:174900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4089	SMAD4	MENDELIAN	OMIM:174900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1280	COL2A1	MENDELIAN	OMIM:616583	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54567	DLL4	MENDELIAN	OMIM:616589	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2261	FGFR3	MENDELIAN	OMIM:146000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7436	VLDLR	MENDELIAN	OMIM:224050	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:200942	KLHDC8B	POLYGENIC	OMIM:236000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4508	MT-ATP6	MENDELIAN	OMIM:551500	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5621	PRNP	MENDELIAN	OMIM:603218	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7490	WT1	MENDELIAN	OMIM:136680	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5159	PDGFRB	MENDELIAN	OMIM:616592	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:81848	SPRY4	MENDELIAN	OMIM:615266	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:388588	SMIM1	MENDELIAN	OMIM:615264	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2623	GATA1	MENDELIAN	OMIM:314050	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1848	DUSP6	MENDELIAN	OMIM:615269	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54756	IL17RD	MENDELIAN	OMIM:615267	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51761	ATP8A2	MENDELIAN	OMIM:615268	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51702	PADI3	MENDELIAN	OMIM:191480	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4247	MGAT2	MENDELIAN	OMIM:212066	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5373	PMM2	MENDELIAN	OMIM:212065	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5337	PLD1	MENDELIAN	OMIM:212093	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54345	SOX18	MENDELIAN	OMIM:137940	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5317	PKP1	MENDELIAN	OMIM:604536	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:167691	LCA5	MENDELIAN	OMIM:604537	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2072	ERCC4	MENDELIAN	OMIM:615272	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:55768	NGLY1	MENDELIAN	OMIM:615273	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8822	FGF17	MENDELIAN	OMIM:615270	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23767	FLRT3	MENDELIAN	OMIM:615271	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3982	LIM2	MENDELIAN	OMIM:615277	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4284	MIP	MENDELIAN	OMIM:615274	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3845	KRAS	MENDELIAN	OMIM:615278	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5604	MAP2K1	MENDELIAN	OMIM:615279	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:55687	TRMU	MENDELIAN	OMIM:580000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:55687	TRMU	POLYGENIC	OMIM:580000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4574	MT-TS1	MENDELIAN	OMIM:580000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:79719	AAGAB	MENDELIAN	OMIM:148600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1311	COMP	MENDELIAN	OMIM:177170	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5605	MAP2K2	MENDELIAN	OMIM:615280	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6305	SBF1	MENDELIAN	OMIM:615284	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:682	BSG	MENDELIAN	OMIM:111380	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1615	DARS1	MENDELIAN	OMIM:615281	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3800	KIF5C	MENDELIAN	OMIM:615282	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:11041	B4GAT1	MENDELIAN	OMIM:615287	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:11311	VPS45	MENDELIAN	OMIM:615285	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:113179	ADAT3	MENDELIAN	OMIM:615286	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6901	TAFAZZIN	MENDELIAN	OMIM:302060	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:29958	DMGDH	MENDELIAN	OMIM:605850	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:57609	DIP2B	MENDELIAN	OMIM:136630	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6654	SOS1	MENDELIAN	OMIM:135300	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1491	CTH	MENDELIAN	OMIM:219500	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23299	BICD2	MENDELIAN	OMIM:615290	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1436	CSF1R	MENDELIAN	OMIM:221820	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:92749	DRC1	MENDELIAN	OMIM:615294	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4854	NOTCH3	MENDELIAN	OMIM:615293	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8200	GDF5	MENDELIAN	OMIM:615298	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2694	CBLIF	MENDELIAN	OMIM:261000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:285203	EOGT	MENDELIAN	OMIM:615297	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:859	CAV3	MENDELIAN	OMIM:123320	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1756	DMD	MENDELIAN	OMIM:302045	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54101	RIPK4	MENDELIAN	OMIM:263650	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:58495	OVOL2	MENDELIAN	OMIM:122000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7273	TTN	MENDELIAN	OMIM:611705	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3265	HRAS	MENDELIAN	OMIM:162900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4893	NRAS	MENDELIAN	OMIM:162900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2261	FGFR3	MENDELIAN	OMIM:162900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5290	PIK3CA	MENDELIAN	OMIM:162900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:64132	XYLT2	MENDELIAN	OMIM:605822	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:658	BMPR1B	MENDELIAN	OMIM:112600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:650	BMP2	MENDELIAN	OMIM:112600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8200	GDF5	MENDELIAN	OMIM:112600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10020	GNE	MENDELIAN	OMIM:605820	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6448	SGSH	MENDELIAN	OMIM:252900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10564	ARFGEF2	MENDELIAN	OMIM:608097	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5396	PRRX1	MENDELIAN	OMIM:202650	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1798	DPAGT1	MENDELIAN	OMIM:608093	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51259	TMEM216	MENDELIAN	OMIM:608091	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:56623	INPP5E	MENDELIAN	OMIM:213300	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4023	LPL	MENDELIAN	OMIM:238600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:959	CD40LG	MENDELIAN	OMIM:308230	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1950	EGF	MENDELIAN	OMIM:611718	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6442	SGCA	MENDELIAN	OMIM:608099	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:56945	MRPS22	MENDELIAN	OMIM:611719	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10165	SLC25A13	MENDELIAN	OMIM:605814	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1294	COL7A1	MENDELIAN	OMIM:226600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4312	MMP1	POLYGENIC	OMIM:226600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5660	PSAP	MENDELIAN	OMIM:611721	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5660	PSAP	MENDELIAN	OMIM:611722	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3662	IRF4	MENDELIAN	OMIM:611724	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4437	MSH3	MENDELIAN	OMIM:608089	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2956	MSH6	POLYGENIC	OMIM:608089	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:999	CDH1	MENDELIAN	OMIM:608089	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:27030	MLH3	POLYGENIC	OMIM:608089	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:154881	KCTD7	MENDELIAN	OMIM:611726	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:331	XIAP	MENDELIAN	OMIM:308240	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4068	SH2D1A	MENDELIAN	OMIM:308240	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2312	FLG	POLYGENIC	OMIM:605803	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7480	WNT10B	MENDELIAN	OMIM:225300	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1145	CHRNE	MENDELIAN	OMIM:605809	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2334	AFF2	MENDELIAN	OMIM:309548	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:24140	FTSJ1	MENDELIAN	OMIM:309549	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6928	HNF1B	MENDELIAN	OMIM:137920	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3054	HCFC1	MENDELIAN	OMIM:309541	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4625	MYH7	MENDELIAN	OMIM:255160	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4647	MYO7A	MENDELIAN	OMIM:276900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10083	USH1C	MENDELIAN	OMIM:276900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:79955	PDZD7	POLYGENIC	OMIM:276901	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7399	USH2A	MENDELIAN	OMIM:276901	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6331	SCN5A	MENDELIAN	OMIM:113900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7401	CLRN1	MENDELIAN	OMIM:276902	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10083	USH1C	MENDELIAN	OMIM:276904	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:208	AKT2	MENDELIAN	OMIM:240900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:434	ASIP	MENDELIAN	OMIM:611742	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2065	ERBB3	MENDELIAN	OMIM:243180	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7291	TWIST1	MENDELIAN	OMIM:180750	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4210	MEFV	MENDELIAN	OMIM:608068	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:9294	S1PR2	MENDELIAN	OMIM:610419	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3914	LAMB3	MENDELIAN	OMIM:226650	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1278	COL1A2	MENDELIAN	OMIM:225320	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4609	MYC	MENDELIAN	OMIM:113970	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8842	PROM1	MENDELIAN	OMIM:608051	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:9968	MED12	MENDELIAN	OMIM:309520	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3588	IL10RB	POLYGENIC	OMIM:610424	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3459	IFNGR1	POLYGENIC	OMIM:610424	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3455	IFNAR2	POLYGENIC	OMIM:610424	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:80184	CEP290	MENDELIAN	OMIM:611755	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1413	CRYBA4	MENDELIAN	OMIM:610425	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:57010	CABP4	MENDELIAN	OMIM:610427	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:162417	NAGS	MENDELIAN	OMIM:237310	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10913	EDAR	MENDELIAN	OMIM:129490	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:128178	EDARADD	MENDELIAN	OMIM:129490	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2993	GYPA	MENDELIAN	OMIM:111300	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51360	MBTPS2	MENDELIAN	OMIM:308205	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2324	FLT4	MENDELIAN	OMIM:153100	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:91662	NLRP12	MENDELIAN	OMIM:611762	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23096	IQSEC2	MENDELIAN	OMIM:309530	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2799	GNS	MENDELIAN	OMIM:252940	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10084	PQBP1	MENDELIAN	OMIM:309500	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5339	PLEC	MENDELIAN	OMIM:226670	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2521	FUS	MENDELIAN	OMIM:608030	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:348	APOE	MENDELIAN	OMIM:611771	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54187	NANS	MENDELIAN	OMIM:610442	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1282	COL4A1	MENDELIAN	OMIM:611773	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:284058	KANSL1	MENDELIAN	OMIM:610443	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2779	GNAT1	MENDELIAN	OMIM:610444	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6010	RHO	MENDELIAN	OMIM:610445	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6556	SLC11A1	POLYGENIC	OMIM:610446	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:60506	NYX	MENDELIAN	OMIM:310500	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:138050	HGSNAT	MENDELIAN	OMIM:252930	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23171	GPD1L	MENDELIAN	OMIM:611777	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:11277	TREX1	MENDELIAN	OMIM:610448	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1855	DVL1	MENDELIAN	OMIM:180700	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7474	WNT5A	MENDELIAN	OMIM:180700	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5903	RANBP2	POLYGENIC	OMIM:608033	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:2034	EPAS1	MENDELIAN	OMIM:611783	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54809	SAMD9	MENDELIAN	OMIM:610455	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
