term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
6'-Sulfo Sialyl Lewis x,GD000011,G00672PE,"Studies using sulfotransferase-deficient mice showed that 6-sulfo sialyl Lewis X (6-sulfo sLe(x)), a major ligand for L-selectin that is expressed on the high endothelial venules (HEVs), plays critical roles in lymphocyte homing to the peripheral lymph nodes.[PMID:2288521]",2288521|26137907|9400621|32744401|9556613|15972893|9015359|22691873|18652681|9722682|10435581|19458105|19359410|15228275|18250165|10536036|17944600|10460836|27993973|19149511|19150806|17172261|17142960|27956273|7578028|22260995|24519996|21596021|21982762|21775439|17334369|9710564|14593101|16227985|11895802|22750968|15157883|19067429,"A branched amino tetrasaccharide comprised of a trisaccharide chain of N-acetyl-α-neuraminic acid, 6-O-sulfo-β-D-glactose and N-acetyl-β-D-glucosamine residues linked sequentially (2→3) and (1→4), to the GlcNAC residue of which is also linked (1→3) an α-L-fucose residue.[CHEBI:71558]",GlycoMotif:GGM.000025|CID:70698387|GlycoEpitope:EP0014|CHEBI:71558|SugarBind_Ligand:128,GlycoMotif:GGM.000025|GTC:G00672PE|CID:70698387|GlycoEpitope:EP0014|CHEBI:71558|SugarBind_Ligand:128,6'-sulfated sialyl Lewis x-|6'-sulfo-sLe(x)|Su-SaiLex|Su-Slex|6'-Sulfo-sialyl Lewis x,lymphocyte homing[GlycoEpitope:EP0014],Influenza[SugarBind_Ligand:128],,NBK453042
9-O-Acetyl GD3,GD000012,G74121RX,"To determine whether 9-O-acetyl GD3 (acGD3) has a general antiapoptotic potential, the apoptosis-sensitive Jurkat cell line and an apoptosis-sensitive variant of the cell line Molt-4 were preincubated with micromolar concentrations of acGD3 and then treated with inducers of apoptosis.[PMID:16432837]",16432837|21507905|17512674|21930212|18194438|20739294|3216430|14724245|31373393|7558412|11273644|17385751|30694652|22894715|12973826|7859075|9749956|9874495|12486096|1989525|25330147|23478187|21807667|8486686|11465673|9511990|29270199|9268945|25045067|21618115|16434401|12493756|2302705|2198284|2685488|9328574|4055789|10096568|1644805|2582447,,GlycoEpitope:EP0064|CID:91852520|GlycoMotif:GGM.000093,GTC:G74121RX|GlycoEpitope:EP0064|CID:91852520|GlycoMotif:GGM.000093,acGD3|9-O-Acetylated GD3|9-O-Acetyl-GD3|9-O-Ac-GD3|CD60b,,pancreas cancer[GlycoEpitope:EP0064],,
9-O-Acetyl sialic acid,GD000013,G47325QT,Levels of 9-O-acetyl sialic acid provide a distinct way to define progenitors and thus facilitate the study of hematopoietic differentiation.[PMID:31411667],31411667|27936566|2509478|10049046|1826463,N-acetyl-9-O-acetyl-alpha-neuraminic acid is a member of the class of N-acetylneuraminic acids that is alpha-neuraminic acid which has acetylated on N-5 and O-9. It has functional parent alpha-neuraminic acid.[CHEBI:84941],GlycoEpitope:EP0065|CID:13991612|CHEBI:84941,GTC:G47325QT|GlycoEpitope:EP0065|CID:13991612|CHEBI:84941,,,,,NBK453082-Chapter 77
A Type 2,GD000014,G74353FF,Herein we report the synthesis of 3-aminopropyl glycosides of A (type 2) and B (type 2) tetrasaccharides via [3 + 1] block scheme.[PMID:27196314],27196314|6583282|8340255|18701592|21901093|2413709|8036794|1615929|3285099,A branched amino tetrasaccharide comprising N-acetyl-β-D-glucosamine at the reducing end with a N-acetyl-α-D-galactosaminyl-(1→3)-[α-L-fucosyl-(1→2)]-β-D-galactosyl moiety attached at the 4-position.[CHEBI:62486],CID:53262376|GlycoEpitope:EP0257|CHEBI:62486|GlycoMotif:GGM.000038,GTC:G74353FF|CID:53262376|GlycoEpitope:EP0257|CHEBI:62486|GlycoMotif:GGM.000038,Blood group A (type 2),,,,NBK453042
A2,GD000015,G62735WZ,"Landsteiner ABO system of blood groups is most important for transfusion medicine and has subtypes of A Antigen, A1 and A2, upon which further groups of A and AB have been classified.[PMID:28658771]",29000000|28658771,,GlycoMotif:GGM.000041|CID:91852328,GlycoMotif:GGM.000041|GTC:G62735WZ|CID:91852328,,,,,
Alpha-gal antigen,GD000016,G24432YB,"Therefore, alpha-gal antigen might be eliminated after a prolonged culture, when using human cells.[PMID:31267683]",31267683|29319188|29481481|26140655|30337555|29235434|22909134|28280265|7532618|23390540|22808845|29898796|22262104|31267683|25430953|22993330|23578170|21043478|28294277|27696820|15814276|17991149|25577211|30578545|19895316|28068870|18546155|32907757|26485996|9771839|12042247|27567275|12131678|23114154|19184002|29577591|29806570|15638815|21118731,A glycosylgalactose that consists of β-D-galactose having an α-D-galactosyl residue at the 3-position.[CHEBI:62330],GlycoMotif:GGM.000015|CID:52939789|CHEBI:62330,GTC:G24432YB|GlycoMotif:GGM.000015|CID:52939789|CHEBI:62330,a-Gal antigen,"Has role as a carbohydrate allergen, epitope or an antigen.[CHEBI:62330]",,,NBK453042
Alpha-galactosylceramide,GD000017,,"From 24 weeks of age, NZB/NZW F1 mice were injected with alpha-galactosylceramide (α-GalCer) or vehicle once a week for four weeks.[PMID:29844470]",29844470|30421497|31575643|30745361|30953000|30556652|29617191|31689579|28872688|30195979|29940370|27004737|27198610|28743554|31649670|31484693|25752588|21383248|25527277|30821985|28947140|31244823|29311431|30803854|29576533|26101952|31213291|22412194|28067024|31199716|27354638|24465013|25445911|28120096|15630427|27803187|21392534|31075434|22683545|26191196|26811064|23935988|28623127|24913977|25434827|23420533|21839133|25314062|27325450|23874157,,,,alpha-GalCer|alpha-GalCers|α-GalCer,,,,
Asialo-biantennary,GD000018,,"Typical crystallizable fragment (Fc) glycans attached to the CH2 domain in therapeutic monoclonal antibodies (mAbs) are core-fucosylated and asialo-biantennary complex-type glycans, e.g., G2F (full galactosylation), G1aF (terminal galactosylation on the Man α1-6 arm), G1bF (terminal galactosylation on the Man α1-3 arm), and G0F (non-galactosylation).[PMID:30990348]",30990348|17645671|20959391|18615430|16945378|2065054|3084472|2386787|22911097|24692304|17013932|7513972|6626573|10835250|9684342,A binantennary glycan lacking sialic acid as non-reducing terminal residues on either antennae [https://en.wiktionary.org/wiki/asialobiantennary],,,asialo diantennary,Used as an adjuvant for experimental vaccines [https://www.sciencedirect.com/topics/neuroscience/alpha-galactosylceramide],,,
Asialo-GM1,GD000019,G21856LC,"We compared the lateral structure of giant unilamellar vesicles (GUVs) composed of three pseudo binary mixtures of different glycosphingolipid (GSL), i.e. sulfatide, asialo-GM1 or GM1, with POPC.[PMID:29106974]",29106974|3418980|26975993|8613364|9288228|26710925|24922516|6839313|1828259|2581667|8210226|25062498|9671150|10377092|6171919|3093429|6652964|3124753|8905612|18788941|1467432|8225593|2083955|6171918|7806377|1802483|7927723|9209156|21174147|2584393|12137200|6175621|2936802|8610366|21490162|1548508|3486908|26453755|7910939|3756909|1639356|3259967|2443562|3112077|2572647|25137483|2168971,,GlycoMotif:GGM.000099|CID:10169040|GlycoEpitope:EP0047|CHEBI:59216,GlycoMotif:GGM.000099|GTC:G21856LC|CID:10169040|GlycoEpitope:EP0047|CHEBI:59216,as-GM1|GA-1|Gangliotetraosylceramide|GgO4|Gg4|Asialo-GM1a,,Pleuropneumonia[SugarBind_Ligand:2]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:2]|Actinomycosis[SugarBind_Ligand:2]|Lazy leukocyte syndrome[SugarBind_Ligand:2]|Pertussis[SugarBind_Ligand:2]|Cutaneous lesions[SugarBind_Ligand:2]|Melioidosis[SugarBind_Ligand:2]|Candidiasis[SugarBind_Ligand:2]|Taiwan acute respiratory agent[SugarBind_Ligand:2]|Trachoma[SugarBind_Ligand:2]|Cystitis[SugarBind_Ligand:2]|Chronic gastritis[SugarBind_Ligand:2]|Peptic ulcers[SugarBind_Ligand:2]|Gastric cancer[SugarBind_Ligand:2]|Klebsiella pneumonia infection[SugarBind_Ligand:2]|Pneumonia[SugarBind_Ligand:2]|Legionnaires' disease[SugarBind_Ligand:2]|Gonorrhea[SugarBind_Ligand:2]|Gastroenteritis[SugarBind_Ligand:2]|Toxoplasmosis[SugarBind_Ligand:2]|Plague[SugarBind_Ligand:2]|Diarrhea[SugarBind_Ligand:2],,
B-GD1B,GD000020,G72557NR,The Molecular Modelling and 10 ns MD simulation of Botulinum Neuro Toxin/B-GD1A and BoNT/B-GD1B complex revealed that this toxin can interact with GD1A in the single binding mode and with GD1B in two binding modes.[PMID:22929125],27956354|22929125,,GlycoMotif:GGM.000104|CID:91847819|KEGG:G01803|CHEBI:153361,GlycoMotif:GGM.000104|GTC:G72557NR|CID:91847819|KEGG:G01803|CHEBI:153361,B-GD1b,,,,
B-GM1,GD000021,G11485ID,"The contribution of GM3 and GD3, which accounted for 95% of the ganglioside sialic acid at birth, decreased during the first 3 weeks of life. GM1, fucosyl-GM1, and B-GM1 were not detected at birth. [PMID: 3680254]",3680254,"(2S,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-acetamido-5-hydroxy-4-[(2R,3R,4S,5S,6R)-5-hydroxy-6-(hydroxymethyl)-4-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of neuraminic acids.[CHEBI:147588]",GlycoMotif:GGM.000102|CID:91853157|CHEBI:147588|SugarBind_Ligand:181,GlycoMotif:GGM.000102|GTC:G11485ID|CID:91853157|CHEBI:147588|SugarBind_Ligand:181,,,Cholera[SugarBind_Ligand:181],,NBK453032
Biantennary,GD000022,,"We found an efficient isopropylidenation reaction that selectively protects the terminal Gal-3,4-OH of a biantennary complex-type nonasaccharide isolated from a natural source.[PMID:29249147]",29249147|24991291|29409839|30325416|18083109|26926155|16715395|12634321|24211369|23115267|31907993|23360551|20861009|33142198|11442281|18687680|15680603|31888963|14686925|15819890|22530754|22098756|9346821|19341309|18529007|20580347|11784152|7773775|10913832|8547276|10463590|9404657|30525457|15316280|8068637|3881425|6425277|8576139|29956878|1576211|11129583|30421263|8069634|30973186|16704415|21612260|29806066|29443078,"Type of N-linked glycan in which two antenna are present on the trimannosyl core, each initiated by GlcNAc additions catalyzed by position-specific N-acetylglucosaminyltransferases (GlcNAcTs). Each antenna can be exteneded or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. [NBK453019-Glossary]",,,diantennary,,,,NBK453020-Chapter 9
Biantennary complex,GD000023,,"The crystal structure of Pterocarpus angolensis lectin is determined in its ligand-free state, in complex with the fucosylated biantennary complex type decasaccharide NA2F, and in complex with a series of smaller oligosaccharide constituents of NA2F.[PMID:16704415]",16704415|3731182|26747427|32597008|6626573|29249147|28597152|25045879|30325416|12634321|31888963|26926155|23360551|33142198|9404657|29956878|14686925|18687680|11784152|7773775|22530754|20580347|22098756|21612260|6425277|7691595|26780731|16285669|15819890|3924097|30448401|8547276|17049014|29408873,"A complex N-glycan that has two branches attached to the non-reducing terminal Man residues of the trimannosyl core. . Each branch is initiated with a GlcNAc and can be exteneded or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. [CHEBI:156251]",CHEBI:156251,CHEBI:156251,diantennary complex type,,,,
Bisecting GlcNac,GD000024,,"The presence of a bisecting GlcNAc and the occurrence of alpha 2-6-linked Neu5Ac in the most abundant N-glycans, are new features for hCG-beta.[PMID:1374031]",1374031|29909448|29274553|32719771|22476631|31375533|26467158|27429195|20816221|26109616|30542567|30144245|25727145|29593568|32612952|9006930|19508951|16000695|32597008|19053837|22530754|30405631|19940114|32719549|9560299|29655002|10589784|29959030|20661133|9061364|31065629|20395209|29549127|30305426|29632412|24108122|24282611|27821068|14686925|10816579|25032906|30025558|9661906|8542600|31585439|29699572|27443163|30315103|23808883|18812317|19776078,"The bisecting GlcNAc is a modification of hybrid or complex N-linked glycans in which a single GlcNAc is added to the 3 position of the b-linked Man found in the trimannosyl core structure. The modification is catalyzed by beta 1,4-N-acetylglucosaminyltransferase III (GlcNAcT-III) or MGAT3 (E.C. 2.4.1.144). The addition of a bisecting GlcNAc on a hybrid or trimmed hybrid glycan prevents the subsequent action of N-glycan branching glycosyltransferases GlcNAcT-IV and GlcNAcT-V, but GlcNAcT3 can add a bisecting GlcNAc to the products of these enzymes. [PMID: 22476631]",SID:163312364|KEGG:G13066,SID:163312364|KEGG:G13066,,"The bisecting GlcNAc of N-glycans regulates cellular signaling and tumor progression through modulating N-glycan/galectin interactions.[PMID: 22476631]Inhibits growth factor signaling and retards mammary tumor progression[PMID: 20395209]Integrin-mediated cell adhesion [PMID: 20816221]Important in fertilization and fetal development, neuritogenesis, immune tolerance, immunoglobulin G (IgG)[PMID: 32719771]",mammary tumor.[PMID: 20395209],,NBK453020
Bisialo-biantennary,GD000025,,"Using anion-exchange liquid chromatography mapping of the oligosaccharide units cleaved from the proteins by glycopeptidase F, compared with elution positions of standard oligosaccharide structures, coupled with monosaccharide compositional analysis, we find that the human plasma protein contained only bisialo-biantennary complex-type carbohydrate and asialo-biantennary complex carbohydrate, confirming earlier work published by this laboratory.",2386787|2065054,A binantennary glycan with sialic acid residues as non-reducing terminal residues on both antennae.,,,disialo biantennary|disialo diantennary|disialylated biantennary|disialylated diantennary,,,,
Bisialo-biantennary complex-type,GD000026,,"Using anion-exchange liquid chromatography mapping of the oligosaccharide units cleaved from the proteins by glycopeptidase F , compared with elution positions of standard oligosaccharide structures , coupled with monosaccharide compositional analysis, we find that the human plasma protein contained only bisialo-biantennary complex-type carbohydrate and asialo-biantennary complex carbohydrate , confirming earlier work published by this laboratory.[PMID:2386787]",2386787|26966183,A binantennary glycan with sialic acid residues as non-reducing terminal residues on both antennae. ,,,Fully sialylated biantennary N-glycan,,,,NBK453089-Chapter 25
Blood group A (type 2) - Lewis y,GD000027,G54826OZ,Monoclonal antibodies defining blood group A variants with difucosyl type 1 chain (ALeb) and difucosyl type 2 chain (ALey).[PMID:2417620],2417620,A branched amino pentasaccharide consisting of the linear trisaccharide N-acetyl-α-D-galactosaminyl-(1→3)-β-D-galactosyl-(1→4)-N-acetyl-β-D-glucosamine having α-L-fucosyl residues attached at position 2 of the galactose and position 3 of the glucosamine. Corresponds to a partial structure of blood group A type 2 oligosaccharide.[CHEBI:62990],GlycoEpitope:EP0261|CHEBI:62990|CID:5289011|GlycoMotif:GGM.000039,GlycoEpitope:EP0261|GTC:G54826OZ|CHEBI:62990|CID:5289011|GlycoMotif:GGM.000039,Blood group A (type 2) (A-Ley)|Blood Group A Type 2 (difucosyl)|Blood group A (type 2) (A-Lewis Y)|A-Ley|A-Le^y,,,,
