glycan_ID,order,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,pubChem
G00320ZP,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00320ZP,6,N-glycan_b-D-Galp_44,N44,Gal,b,D,p,N2,3,Gal
G00320ZP,7,N-glycan_a-D-Neup5Ac_73,N73,Neu5Ac,a,D,p,N44,3,Neu5Ac
G00320ZP,8,N-glycan_a-D-Neu5Acp_E1,NE1,Neu5Ac,a,D,p,N2,6,Neu5Ac
G00320ZP,9,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00320ZP,10,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00320ZP,11,N-glycan_b-D-Galp_86,N86,Gal,b,D,p,N5,3,Gal
G00320ZP,12,N-glycan_a-D-Neup5Ac_101,N101,Neu5Ac,a,D,p,N86,3,Neu5Ac
G00395TQ,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00395TQ,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00395TQ,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00395TQ,4,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00395TQ,5,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00413UF,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00413UF,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00413UF,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00413UF,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00413UF,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00413UF,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00413UF,7,N-glycan_a-D-Neup5Ac_12,N12,Neu5Ac,a,D,p,N3,6,Neu5Ac
G00413UF,8,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00413UF,9,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00413UF,10,N-glycan_a-D-Neup5Ac_14,N14,Neu5Ac,a,D,p,N8,6,Neu5Ac
G00413UF,11,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00413UF,12,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00413UF,13,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00463XD,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00463XD,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00463XD,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00463XD,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00463XD,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00463XD,6,N-glycan_b-D-GlcNAcp_E87,NE87,GlcNAc,b,D,p,N1,6,GlcNAc
G00463XD,7,N-glycan_b-D-GlcpNAc_11,N11,GlcNAc,b,D,p,NC,4,GlcNAc
G00463XD,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00463XD,9,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00463XD,10,N-glycan_b-D-GlcpNAc_31,N31,GlcNAc,b,D,p,N4,4,GlcNAc
G00463XD,11,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00504PZ,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcolNAc,o,D,o,no_id,0,GlcNAcol
G00504PZ,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00504PZ,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00504PZ,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00504PZ,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00504PZ,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00504PZ,7,N-glycan_b-D-GlcpNAc_11,N11,GlcNAc,b,D,p,NC,4,GlcNAc
G00504PZ,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00504PZ,9,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00536FZ,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00536FZ,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00536FZ,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00536FZ,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00536FZ,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00536FZ,6,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00536FZ,7,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00536FZ,8,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00536FZ,9,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00536FZ,10,N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,GlcNAc
G00536FZ,11,N-glycan_b-D-Galp_10,N10,Gal,b,D,p,N9,4,Gal
G00536FZ,12,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00646SN,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcolNAc,o,D,o,no_id,0,GlcNAcol
G00646SN,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00646SN,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00646SN,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00646SN,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00646SN,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00646SN,7,N-glycan_a-D-Neup5Ac_17,N17,Neu5Ac,a,D,p,N3,3,Neu5Ac
G00646SN,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00646SN,9,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00646SN,10,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00646SN,11,N-glycan_a-D-Neup5Ac_16,N16,Neu5Ac,a,D,p,N6,3,Neu5Ac
G00646SN,12,N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,GlcNAc
G00646SN,13,N-glycan_b-D-Galp_10,N10,Gal,b,D,p,N9,4,Gal
G00646SN,14,N-glycan_a-D-Neup5Ac_35,N35,Neu5Ac,a,D,p,N10,6,Neu5Ac
G00662IB,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00662IB,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00662IB,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00662IB,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00662IB,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00662IB,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00662IB,7,N-glycan_a-D-Neup5Ac_17,N17,Neu5Ac,a,D,p,N3,3,Neu5Ac
G00662IB,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00662IB,9,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00662IB,10,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00662IB,11,N-glycan_a-D-Neup5Ac_13,N13,Neu5Ac,a,D,p,N6,6,Neu5Ac
G00662IB,12,N-glycan_b-D-GlcpNAc_31,N31,GlcNAc,b,D,p,N4,4,GlcNAc
G00662IB,13,N-glycan_b-D-Galp_32,N32,Gal,b,D,p,N31,4,Gal
G00662IB,14,N-glycan_a-D-Neup5Ac_46,N46,Neu5Ac,a,D,p,N32,3,Neu5Ac
G00706AL,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcolNAc,o,D,o,no_id,0,GlcNAcol
G00706AL,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00706AL,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00706AL,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00706AL,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00706AL,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00706AL,7,N-glycan_a-D-Neup5Ac_12,N12,Neu5Ac,a,D,p,N3,6,Neu5Ac
G00706AL,8,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00706AL,9,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00706AL,10,N-glycan_a-D-Neup5Ac_14,N14,Neu5Ac,a,D,p,N8,6,Neu5Ac
G00706AL,11,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00706AL,12,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00706AL,13,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00706AL,14,N-glycan_a-D-Neup5Ac_16,N16,Neu5Ac,a,D,p,N6,3,Neu5Ac
G00743WU,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00743WU,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00743WU,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00743WU,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00743WU,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00743WU,6,N-glycan_b-D-GalpNAc_29,N29,GalNAc,b,D,p,N2,4,GalNAc
G00743WU,7,N-glycan_a-D-Neup5Ac_69,N69,Neu5Ac,a,D,p,N29,6,Neu5Ac
G00743WU,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00743WU,9,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00743WU,10,N-glycan_b-D-GalpNAc_30,N30,GalNAc,b,D,p,N5,4,GalNAc
G00743WU,11,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00797ZX,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00797ZX,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00797ZX,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00797ZX,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00797ZX,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00797ZX,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00797ZX,7,N-glycan_a-L-Fucp_53,N53,Fuc,a,L,p,N3,2,Fuc
G00797ZX,8,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00797ZX,9,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00797ZX,10,N-glycan_a-L-Fucp_71,N71,Fuc,a,L,p,N8,2,Fuc
G00797ZX,11,N-glycan_a-D-Galp_39,N39,Gal,a,D,p,N8,3,Gal
G00797ZX,12,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00797ZX,13,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00797ZX,14,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00797ZX,15,N-glycan_a-L-Fucp_54,N54,Fuc,a,L,p,N6,2,Fuc
G00797ZX,16,N-glycan_a-D-Galp_50,N50,Gal,a,D,p,N6,3,Gal
G00797ZX,17,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00826SV,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00826SV,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00826SV,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00826SV,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00826SV,5,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00826SV,6,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00826SV,7,N-glycan_b-D-GlcpNAc_11,N11,GlcNAc,b,D,p,NC,4,GlcNAc
G00826SV,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00826SV,9,N-glycan_b-D-GlcpNAc_31,N31,GlcNAc,b,D,p,N4,4,GlcNAc
G00826SV,10,N-glycan_b-D-Galp_32,N32,Gal,b,D,p,N31,4,Gal
G00826SV,11,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00830CM,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00830CM,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00830CM,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00830CM,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00830CM,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00830CM,6,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00830CM,7,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00830CM,8,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00830CM,9,N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,GlcNAc
G00830CM,10,N-glycan_b-D-Galp_10,N10,Gal,b,D,p,N9,4,Gal
G00830CM,11,unassigned,11,Neu5Ac,a,D,p,N10,-1,Neu5Ac
G00850LT,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00850LT,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00850LT,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00850LT,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00850LT,5,N-glycan_a-D-Manp_E2,NE2,Man,a,D,p,N1,6,Man
G00850LT,6,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00876GU,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00876GU,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00876GU,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00876GU,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00876GU,5,N-glycan_a-D-Manp_21,N21,Man,a,D,p,N1,2,Man
G00876GU,6,N-glycan_a-D-Manp_22,N22,Man,a,D,p,N21,2,Man
G00876GU,7,N-glycan_b-D-Glcp_E3,NE3,Glc,b,D,p,N22,3,Glc
G00876GU,8,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00876GU,9,N-glycan_a-D-Manp_19,N19,Man,a,D,p,N4,3,Man
G00876GU,10,N-glycan_a-D-Manp_20,N20,Man,a,D,p,N4,6,Man
G00876GU,11,N-glycan_a-D-Manp_23,N23,Man,a,D,p,N20,2,Man
G00883DO,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00883DO,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00883DO,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00883DO,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00883DO,5,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00883DO,6,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00883DO,7,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00883DO,8,N-glycan_b-D-GlcpNAc_31,N31,GlcNAc,b,D,p,N4,4,GlcNAc
G00883DO,9,N-glycan_b-D-Galp_32,N32,Gal,b,D,p,N31,4,Gal
G00909GK,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00909GK,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00909GK,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00909GK,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00909GK,5,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00909GK,6,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00909GK,7,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00909GK,8,N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,GlcNAc
G00910WD,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcolNAc,o,D,o,no_id,0,GlcNAcol
G00910WD,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00910WD,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00910WD,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00910WD,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00910WD,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G00910WD,7,N-glycan_a-D-Neup5Ac_12,N12,Neu5Ac,a,D,p,N3,6,Neu5Ac
G00910WD,8,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00910WD,9,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00910WD,10,N-glycan_a-D-Neup5Ac_14,N14,Neu5Ac,a,D,p,N8,6,Neu5Ac
G00910WD,11,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00910WD,12,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00910WD,13,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G00910WD,14,N-glycan_a-D-Neup5Ac_13,N13,Neu5Ac,a,D,p,N6,6,Neu5Ac
G00910WD,15,N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,GlcNAc
G00910WD,16,N-glycan_b-D-Galp_10,N10,Gal,b,D,p,N9,4,Gal
G00910WD,17,N-glycan_a-D-Neup5Ac_35,N35,Neu5Ac,a,D,p,N10,6,Neu5Ac
G00910WD,18,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00986YT,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00986YT,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00986YT,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00986YT,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00986YT,5,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00986YT,6,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00986YT,7,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00986YT,8,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00986YT,9,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G01342FO,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G01342FO,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G01342FO,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G01342FO,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G01342FO,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G01342FO,6,N-glycan_a-L-Fucp_41,N41,Fuc,a,L,p,N2,3,Fuc
G01342FO,7,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G01342FO,8,N-glycan_b-D-GlcpNAc_62,N62,GlcNAc,b,D,p,N3,3,GlcNAc
G01342FO,9,N-glycan_a-L-Fucp_98,N98,Fuc,a,L,p,N62,3,Fuc
G01342FO,10,N-glycan_b-D-Galp_63,N63,Gal,b,D,p,N62,4,Gal
G01342FO,11,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G01342FO,12,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G01342FO,13,N-glycan_a-L-Fucp_42,N42,Fuc,a,L,p,N5,3,Fuc
G01342FO,14,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G01342FO,15,N-glycan_b-D-GlcpNAc_59,N59,GlcNAc,b,D,p,N6,3,GlcNAc
G01342FO,16,N-glycan_a-L-Fucp_99,N99,Fuc,a,L,p,N59,3,Fuc
G01342FO,17,N-glycan_b-D-Galp_60,N60,Gal,b,D,p,N59,4,Gal
G01342FO,18,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G01354KL,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G01354KL,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G01354KL,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G01354KL,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G01354KL,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G01354KL,6,N-glycan_b-D-Galp_3,N3,Gal,b,D,p,N2,4,Gal
G01354KL,7,N-glycan_a-D-Neup5Ac_17,N17,Neu5Ac,a,D,p,N3,3,Neu5Ac
G01354KL,8,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G01354KL,9,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G01354KL,10,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G01354KL,11,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G01354KL,12,N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,Gal
G01354KL,13,N-glycan_a-D-Neup5Ac_13,N13,Neu5Ac,a,D,p,N6,6,Neu5Ac
G01354KL,14,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G01669LU,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G01669LU,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G01669LU,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G01669LU,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G01669LU,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
